,cik,year_end
1153,51644, 1231
1154,1111928, 1231
1155,1160958, 1231
1156,1364099, 1231
1157,1421461, 1231
1158,1466258, 40
1159,1159167, 1228
1160,1418819, 1231
1161,798359, 1231
1162,1006045, 1228
1163,1020569, 1231
1164,933267, 40
1165,1446847, 1231
1166,1326807, 0630
1167,943034, 1231
1168,728387, 0630
1169,1035267, 1231
1170,749251, 1231
1171,350868, 0331
1172,780571, 1231
1173,1231, 40
1174,216228, 1231
1175,1, 40
1176,49826, 1231
1177,1001902, 1231
1178,742112, 1231
1179,1437071, 1231
1180,914208, 0
1181,807882, 0929
1182,1685715, 1231
1183,1009829, 1231
1184,1617227, 1230
1185,1232524, 40
1186,728535, 1231
1187,898293, 0831
1188,1158463, 1231
1189,1433660, 1231
1190,833444, 40
1191,1084048, 1231
1192,1166126, 0130
1193,22701, 1231
1194,331, 40
1195,52988, 0927
1196,785956, 0928
1197,779152, 0630
1198,1231, 40
1199,1037976, 1231
1200,1302350, 1231
1201,200406, 1229
1202,1043604, 1231
1203,1231, 40
1204,745308, 1231
1205,788329, 0927
1206,19617, 1231
1207,1007019, 1031
1208,72333, 0201
1209,55067, 1228
1210,886346, 1228
1211,811596, 1231
1212,54381, 1231
1213,1395942, 1231
1214,795266, 1130
1215,1357615, 1231
1216,318996, 1231
1217,55135, 1229
1218,887730, 0331
1219,55529, 0430
1220,56047, 1231
1221,91576, 1231
1222,930420, 1231
1223,56679, 0430
1224,701818, 40
1225,879101, 1231
1226,33992, 1231
1227,1056285, 0201
1228,1404912, 1231
1229,319201, 0630
1230,56978, 40
1231,55785, 1231
1232,1506307, 1231
1233,860748, 1231
1234,55242, 0630
1235,1170010, 0229
1236,1011570, 1231
1237,1492691, 1231
1238,21344, 1231
1239,19, 40
1240,811212, 1231
1241,1315257, 1231
1242,771266, 1228
1243,1509991, 1231
1244,56873, 0201
1245,1321646, 1231
1246,1025996, 1231
1247,1286043, 1231
1248,1295664, 1
1249,1257640, 1231
1250,885639, 0201
1251,54480, 1231
1252,719733, 0629
1253,1069258, 1229
1254,1007587, 1231
1255,1408100, 1231
1256,81362, 1231
1257,60086, 1231
1258,1023128, 1231
1259,798081, 0131
1260,1090425, 1231
1261,57515, 0630
1262,703604, 1231
1263,1311370, 40
1264,846901, 1231
1265,1570585, 40
1266,902274, 1231
1267,57725, 0630
1268,1074902, 1231
1269,60977, 1231
1270,842162, 1231
1271,59527, 1231
1272,1333822, 40
1273,58361, 0929
1274,58492, 1231
1275,920760, 1130
1276,889331, 1229
1277,886163, 1231
1278,920148, 1231
1279,1303313, 1231
1280,1073431, 1231
1281,1069202, 1231
1282,1286613, 1231
1283,721994, 1231
1284,1396033, 1231
1285,1391127, 1231
1286,59478, 1231
1287,704051, 0331
1288,1158895, 1231
1289,1342423, 1031
1290,1033905, 1231
1291,936468, 1231
1292,59558, 1231
1293,1005286, 0526
1294,3570, 1231
1295,836157, 0831
1296,352541, 1231
1297,1080340, 1231
1298,1120970, 1231
1299,1032975, 0331
1300,1420302, 1231
1301,1434588, 1231
1302,16, 40
1303,60667, 0131
1304,1528129, 1231
1305,10, 40
1306,1397911, 1231
1307,1102993, 1231
1308,889971, 0630
1309,60519, 1231
1310,1235468, 0930
1311,707549, 0628
1312,1157408, 0630
1313,855658, 0102
1314,944314, 1231
1315,853816, 1228
1316,887905, 1231
1317,1076195, 1231
1318,1114925, 0630
1319,1029730, 1231
1320,16099, 0828
1321,1397187, 40
1322,1239819, 1231
1323,92380, 1231
1324,1300514, 1231
1325,814586, 1231
1326,910108, 1231
1327,1062822, 1231
1328,60714, 1231
1329,1489393, 7
1330,763532, 0630
1331,1335258, 1231
1332,57131, 0427
1333,794367, 0201
1334,1141391, 1231
1335,912595, 1231
1336,912242, 1231
1337,1274792, 1231
1338,1, 40
1339,1396440, 1231
1340,871763, 1231
1341,1056696, 1231
1342,892537, 1231
1343,1048286, 1231
1344,1368365, 1231
1345,62996, 1231
