,0
973,"['0000911147', '1231']"
974,CNX
975,"['0001070412', '1231']"
976,CO
977,"['0001467808', '40']"
978,CODI
979,"['0001345126', '1231']"
980,COF
981,"['0000927628', '1231']"
982,COG
983,"['0000858470', '1231']"
984,COHR
985,"['0000021510', '0928']"
986,COHU
987,"['0000021535', '1228']"
988,COKE
989,"['0000317540', '1229']"
990,COLB
991,"['0000887343', '1231']"
992,COLM
993,"['0001050797', '1231']"
994,CONN
995,"['0001223389', '0131']"
996,COO
997,"['0000711404', '1031']"
998,COP
999,"['0001163165', '1231']"
1000,COR
1001,"['0001490892', '1231']"
1002,CORE
1003,"['0001318084', '1231']"
1004,CORT
1005,"['0001088856', '1231']"
1006,COST
1007,"['0000909832', '0902']"
1008,COT
1009,"['0000884713', '40']"
1010,COWN
1011,"['0001466538', '1231']"
1012,CP
1013,"['0000016875', '40']"
1014,CPA
1015,"['1231', '40']"
1016,CPAC
1017,"['1231', '40']"
1018,CPB
1019,"['0000016732', '0728']"
1020,CPE
1021,"['0000928022', '1231']"
1022,CPF
1023,"['0000701347', '1231']"
1024,CPIX
1025,"['0001087294', '40']"
1026,CPK
1027,"['0000019745', '1231']"
1028,CPL
1029,"['1231', '40']"
1030,CPLP
1031,"['0001392326', '40']"
1032,CPRT
1033,"['0000900075', '0731']"
1034,CPRX
1035,"['0001369568', '1231']"
1036,CPSI
1037,"['0001169445', '1231']"
1038,CPSS
1039,"['0000889609', '1231']"
1040,CPST
1041,"['0001009759', '0331']"
1042,CPT
1043,"['0000906345', '1231']"
1044,CQP
1045,"['0001383650', '1231']"
1046,CR
1047,"['0000025445', '1231']"
1048,CRAI
1049,"['0001053706', '1228']"
1050,CRC
1051,"['0001609253', '1231']"
1052,CREE
1053,"['0000895419', '0628']"
1054,CRI
1055,"['0001060822', '1228']"
1056,CRIS
1057,"['0001108205', '1231']"
1058,CRK
1059,"['0000023194', '1231']"
1060,CRL
1061,"['0001100682', '1228']"
1062,CRMD
1063,"['0001410098', '1231']"
1064,CRMT
1065,"['0000799850', '0430']"
1066,CRNT
1067,"['1231', '40']"
1068,CROX
1069,"['0001334036', '1231']"
1070,CRR
1071,"['0001009672', '1231']"
1072,CRS
1073,"['0000017843', '0630']"
1074,CRUS
1075,"['0000772406', '0328']"
1076,CRWS
1077,"['0000025895', '0331']"
1078,CRY
1079,"['0000784199', '1231']"
1080,CRZO
1081,"['0001040593', '1231']"
1082,CS
1083,"['28', '40']"
1084,CSCO
1085,"['0000858877', '0725']"
1086,CSFL
1087,"['0001102266', '1231']"
1088,CSGP
1089,"['0001057352', '1231']"
1090,CSGS
1091,"['0001005757', '1231']"
1092,CSII
1093,"['0001180145', '0630']"
1094,CSIQ
1095,"['1231', '40']"
1096,CSL
1097,"['0000790051', '1231']"
1098,CSOD
1099,"['0001401680', '1231']"
1100,CSS
1101,"['0000020629', '0331']"
1102,CSTE
1103,"['23', '40']"
1104,CSTR
1105,"['0001676479', '1231']"
1106,CSU
1107,"['0001043000', '1231']"
1108,CSV
1109,"['0001016281', '1231']"
1110,CSWC
1111,"['0000017313', '0331']"
1112,CSX
1113,"['0000277948', '1231']"
1114,CTAS
1115,"['0000723254', '0531']"
1116,CTB
1117,"['0000024491', '1231']"
1118,CTBI
1119,"['0000350852', '1231']"
1120,CTHR
1121,"['0001015155', '0630']"
1122,CTIB
1123,"['0001042187', '1231']"
1124,CTIC
1125,"['0000891293', '1231']"
1126,CTL
1127,"['0000018926', '1231']"
1128,CTO
1129,"['0000023795', '1231']"
1130,CTRN
1131,"['0001318484', '0201', 'NULL', 'NULL']"
1132,CTRP
1133,"['0001318484', '0201', 'NULL', 'NULL']"
1134,CTS
1135,"['0000026058', '1231']"
1136,CTSH
1137,"['0001058290', '1231']"
1138,CTXS
1139,"['0000877890', '1231']"
1140,CUB
1141,"['0000026076', '0930']"
1142,CUBE
1143,"['0001298675', '1231']"
1144,CUI
1145,"['0001108967', '1231']"
1146,CUK
1147,"['0001125259', '40']"
1148,CUTR
1149,"['0001162461', '1231']"
1150,CUZ
1151,"['0000025232', '1231']"
1152,CVA
1153,"['0000225648', '1231']"
1154,CVBF
1155,"['0000354647', '1231']"
1156,CVCO
1157,"['0000278166', '0328']"
1158,CVCY
1159,"['0001127371', '1231']"
1160,CVE
1161,"['1231', '40']"
1162,CVGI
1163,"['0001290900', '1231']"
1164,CVGW
1165,"['0001133470', '1031']"
1166,CVI
1167,"['0001376139', '1231']"
1168,CVLT
1169,"['0001169561', '0331']"
1170,CVM
1171,"['0000725363', '0930']"
1172,CVS
1173,"['0000064803', '1231']"
1174,CVTI
1175,"['0000928658', '1231']"
1176,CVU
1177,"['0000889348', '1231']"
1178,CVX
1179,"['0000093410', '1231']"
1180,CW
1181,"['0000026324', '1231']"
1182,CWCO
1183,"['0000928340', '40']"
1184,CWH
1185,"['0001669779', '1231']"
1186,CWST
1187,"['0000911177', '1231']"
1188,CWT
1189,"['0001035201', '1231']"
1190,CX
1191,"['0001076378', '40']"
1192,CXO
1193,"['0001358071', '1231']"
1194,CXW
1195,"['0001070985', '1231']"
1196,CY
1197,"['0000791915', '1229']"
1198,CYBE
1199,"['0000768411', '1231']"
1200,CYCC
1201,"['0001130166', '1231']"
1202,CYD
1203,"['1231', '40']"
1204,CYH
1205,"['0001108109', '1231']"
1206,CYOU
1207,"['1231', '40']"
1208,CYTK
1209,"['0001061983', '1231']"
1210,CYTR
1211,"['0000799698', '1231']"
1212,CZR
1213,"['0000858339', '1231']"
1214,CZWI
1215,"['0001367859', '1231']"
1216,CZZ
1217,"['0001402902', '40']"
1218,D
1219,"['0000715957', '1231']"
1220,DAC
1221,"['1231', '40']"
1222,DAIO
1223,"['0000351998', '1211']"
1224,DAKT
1225,"['0000915779', '0502']"
1226,DAL
1227,"['0000027904', '1231']"
1228,DAN
1229,"['0000026780', '1231']"
1230,DAR
1231,"['0000916540', '1228', 'NULL', 'NULL']"
1232,DB
1233,"['0000916540', '1228', 'NULL', 'NULL']"
1234,DBD
1235,"['0000028823', '1231']"
1236,DCI
1237,"['0000029644', '0731']"
1238,DCIX
1239,"['0001481241', '40']"
1240,DCO
1241,"['0000030305', '1231']"
1242,DCOM
1243,"['0001005409', '1231']"
1244,DD
1245,"['0001666700', '1231']"
1246,DDD
1247,"['0000910638', '1231']"
1248,DDS
1249,"['0000028917', '0201']"
1250,DE
1251,"['0000315189', '1103']"
1252,DECK
1253,"['0000910521', '0331']"
1254,DEI
1255,"['0001364250', '1231']"
1256,DELL
1257,"['0001571996', '0201']"
1258,DENN
1259,"['0000852772', '1225']"
1260,DF
1261,"['0000931336', '1231']"
1262,DFS
1263,"['0001393612', '1231']"
1264,DG
1265,"['0000029534', '0131']"
1266,DGICA
1267,"['0000800457', '1231']"
1268,DGII
1269,"['0000854775', '0930']"
1270,DGLY
1271,"['0001342958', '1231']"
1272,DGX
1273,"['0001022079', '1231']"
1274,DHI
1275,"['0000882184', '0930']"
1276,DHR
1277,"['0000313616', '1231']"
1278,DHT
1279,"['14', '40']"
1280,DHX
1281,"['0001393883', '1231']"
1282,DIN
1283,"['0000049754', '1231']"
1284,DIOD
1285,"['0000029002', '1231']"
1286,DIS
