,Unnamed: 0,cik,year_end,symbol
408,408,925645, 40,CETV
409,409,1173489, 1231,CEVA
410,410,1324404, 1231,CF
411,411,1074433, 1022,CFFN
412,412,39263, 1231,CFR
413,413,1420800, 1231,CFX
414,414,1527166, 1231,CG
415,415,1231, 40,CGEN
416,416,851205, 1231,CGNX
417,417,726854, 1231,CHCO
418,418,313927, 1231,CHD
419,419,20212, 1231,CHDN
420,420,19584, 1231,CHE
421,421,1517175, 1228,CHEF
422,422,1046311, 1231,CHH
423,423,895126, 1231,CHK
424,424,1231, 40,CHKP
425,425,1524769, 1231,CHKR
426,426,1512762, 1231,CHRS
427,427,1043277, 1231,CHRW
428,428,897429, 0201,CHS
429,429,1091667, 1231,CHTR
430,430,1739940, 1231,CI
431,431,24090, 1231,CIA
432,432,1231, 40,CIB
433,433,1173204, 0331,CIDM
434,434,936395, 1031,CIEN
435,435,5, 40,CIG
436,436,1409493, 1231,CIM
437,437,20286, 1231,CINF
438,438,1091883, 1231,CIR
439,439,1171825, 1231,CIT
440,440,859598, 1231,CKH
441,441,21665, 1231,CL
442,442,1000229, 40,CLB
443,443,1089143, 0630,CLCT
444,444,1476045, 1231,CLDT
445,445,744218, 1231,CLDX
446,446,764065, 1231,CLF
447,447,796505, 0930,CLFD
448,448,36047, 1231,CLGX
449,449,822818, 1231,CLH
450,450,924901, 1231,CLI
451,451,1340122, 1231,CLMT
452,452,1368265, 1231,CLNE
453,453,1679688, 1231,CLNY
454,454,732834, 1231,CLR
455,455,840715, 1231,CLRO
456,456,1231, 40,CLS
457,457,749647, 1231,CLSN
458,458,1281774, 1231,CLUB
459,459,1466301, 1231,CLVS
460,460,1441236, 1231,CLW
461,461,21076, 0630,CLX
462,462,1045520, 40,CM
463,463,28412, 1231,CMA
464,464,22444, 0831,CMC
465,465,1005229, 0331,CMCO
466,466,1166691, 1231,CMCSA
467,467,1156375, 1231,CME
468,468,1058090, 1231,CMG
469,469,26172, 1231,CMI
470,470,1058623, 1231,CMLS
471,471,766701, 1231,CMO
472,472,1227654, 1231,CMP
473,473,1231, 40,CMRE
474,474,811156, 1231,CMS
475,475,23197, 0731,CMTL
476,476,21175, 1231,CNA
477,477,1071739, 1231,CNC
478,478,1231, 40,CNI
479,479,1385280, 1231,CNK
480,480,816956, 1231,CNMD
481,481,1224608, 1231,CNO
482,482,1130310, 1231,CNP
483,483,1231, 40,CNQ
484,484,1284812, 1231,CNS
485,485,1304421, 1231,CNSL
486,486,911147, 1231,CNTY
487,487,1070412, 1231,CNX
488,488,1467808, 40,CO
489,489,1345126, 1231,CODI
490,490,927628, 1231,COF
491,491,858470, 1231,COG
492,492,21510, 0928,COHR
493,493,21535, 1228,COHU
494,494,317540, 1229,COKE
495,495,887343, 1231,COLB
496,496,1050797, 1231,COLM
497,497,1223389, 0131,CONN
498,498,711404, 1031,COO
499,499,1163165, 1231,COP
500,500,1490892, 1231,COR
501,501,1318084, 1231,CORE
502,502,1088856, 1231,CORT
503,503,909832, 0902,COST
504,504,884713, 40,COT
505,505,1466538, 1231,COWN
506,506,16875, 40,CP
507,507,1231, 40,CPA
508,508,1231, 40,CPAC
509,509,16732, 0728,CPB
510,510,928022, 1231,CPE
511,511,701347, 1231,CPF
512,512,1087294, 40,CPIX
513,513,19745, 1231,CPK
514,514,1231, 40,CPL
515,515,1392326, 40,CPLP
516,516,900075, 0731,CPRT
517,517,1369568, 1231,CPRX
518,518,1169445, 1231,CPSI
519,519,889609, 1231,CPSS
520,520,1009759, 0331,CPST
521,521,906345, 1231,CPT
522,522,1383650, 1231,CQP
523,523,25445, 1231,CR
524,524,1053706, 1228,CRAI
525,525,1609253, 1231,CRC
526,526,895419, 0628,CREE
527,527,1060822, 1228,CRI
528,528,1108205, 1231,CRIS
529,529,23194, 1231,CRK
530,530,1100682, 1228,CRL
531,531,1410098, 1231,CRMD
532,532,799850, 0430,CRMT
533,533,1231, 40,CRNT
534,534,1334036, 1231,CROX
535,535,1009672, 1231,CRR
536,536,17843, 0630,CRS
537,537,772406, 0328,CRUS
538,538,25895, 0331,CRWS
539,539,784199, 1231,CRY
540,540,1040593, 1231,CRZO
541,541,28, 40,CS
542,542,858877, 0725,CSCO
543,543,1102266, 1231,CSFL
544,544,1057352, 1231,CSGP
545,545,1005757, 1231,CSGS
546,546,1180145, 0630,CSII
547,547,1231, 40,CSIQ
548,548,790051, 1231,CSL
549,549,1401680, 1231,CSOD
550,550,20629, 0331,CSS
551,551,23, 40,CSTE
552,552,1676479, 1231,CSTR
553,553,1043000, 1231,CSU
554,554,1016281, 1231,CSV
555,555,17313, 0331,CSWC
556,556,277948, 1231,CSX
557,557,723254, 0531,CTAS
558,558,24491, 1231,CTB
559,559,350852, 1231,CTBI
560,560,1015155, 0630,CTHR
561,561,1042187, 1231,CTIB
562,562,891293, 1231,CTIC
563,563,18926, 1231,CTL
564,564,23795, 1231,CTO
565,565,1318484, 0201,CTRN
566,566,1318484, 0201,CTRP
567,567,26058, 1231,CTS
568,568,1058290, 1231,CTSH
569,569,877890, 1231,CTXS
570,570,26076, 0930,CUB
571,571,1298675, 1231,CUBE
572,572,1108967, 1231,CUI
573,573,1125259, 40,CUK
574,574,1162461, 1231,CUTR
575,575,25232, 1231,CUZ
576,576,225648, 1231,CVA
577,577,354647, 1231,CVBF
578,578,278166, 0328,CVCO
579,579,1127371, 1231,CVCY
580,580,1231, 40,CVE
581,581,1290900, 1231,CVGI
582,582,1133470, 1031,CVGW
583,583,1376139, 1231,CVI
584,584,1169561, 0331,CVLT
585,585,725363, 0930,CVM
586,586,64803, 1231,CVS
587,587,928658, 1231,CVTI
588,588,889348, 1231,CVU
589,589,93410, 1231,CVX
590,590,26324, 1231,CW
591,591,928340, 40,CWCO
592,592,1669779, 1231,CWH
593,593,911177, 1231,CWST
594,594,1035201, 1231,CWT
595,595,1076378, 40,CX
596,596,1358071, 1231,CXO
597,597,1070985, 1231,CXW
598,598,791915, 1229,CY
599,599,768411, 1231,CYBE
600,600,1130166, 1231,CYCC
601,601,1231, 40,CYD
602,602,1108109, 1231,CYH
603,603,1231, 40,CYOU
604,604,1061983, 1231,CYTK
605,605,799698, 1231,CYTR
606,606,858339, 1231,CZR
607,607,1367859, 1231,CZWI
608,608,1402902, 40,CZZ
609,609,715957, 1231,D
610,610,1231, 40,DAC
611,611,351998, 1211,DAIO
612,612,915779, 0502,DAKT
613,613,27904, 1231,DAL
614,614,26780, 1231,DAN
615,615,916540, 1228,DAR
616,616,916540, 1228,DB
617,617,28823, 1231,DBD
618,618,29644, 0731,DCI
619,619,1481241, 40,DCIX
620,620,30305, 1231,DCO
621,621,1005409, 1231,DCOM
622,622,1666700, 1231,DD
623,623,910638, 1231,DDD
624,624,28917, 0201,DDS
625,625,315189, 1103,DE
626,626,910521, 0331,DECK
627,627,1364250, 1231,DEI
628,628,1571996, 0201,DELL
629,629,852772, 1225,DENN
630,630,931336, 1231,DF
631,631,1393612, 1231,DFS
632,632,29534, 0131,DG
633,633,800457, 1231,DGICA
634,634,854775, 0930,DGII
635,635,1342958, 1231,DGLY
636,636,1022079, 1231,DGX
637,637,882184, 0930,DHI
638,638,313616, 1231,DHR
639,639,14, 40,DHT
640,640,1393883, 1231,DHX
641,641,49754, 1231,DIN
642,642,29002, 1231,DIOD
643,643,1744489, 0928,DIS
644,644,1437107, 1231,DISCA
645,645,1437107, 1231,DISCB
646,646,1437107, 1231,DISCK
647,647,1001082, 1231,DISH
648,648,1694426, 1231,DK
649,649,1089063, 0201,DKS
650,650,930, 40,DL
651,651,1101396, 0928,DLA
652,652,1308547, 0924,DLB
653,653,1707092, 40,DLPH
654,654,1297996, 1231,DLR
655,655,935703, 0201,DLTR
656,656,27996, 1231,DLX
657,657,1438231, 1231,DMRC
658,658,713671, 1231,DNBF
659,659,1357204, 1228,DNKN
660,660,8, 40,DNN
661,661,945764, 1231,DNR
662,662,949039, 1231,DO
663,663,868780, 1229,DORM
664,664,29905, 1231,DOV
665,665,930, 40,DOX
666,666,896493, 1231,DPW
667,667,1286681, 1229,DPZ
668,668,1231, 40,DQ
669,669,707388, 1231,DRAD
670,670,783280, 1231,DRE
671,671,1298946, 1231,DRH
672,672,940944, 0531,DRI
673,673,1042893, 1231,DRQ
674,674,1082038, 1231,DRRX
675,675,131, 40,DSGX
676,676,915778, 40,DSPG
677,677,771999, 1231,DSS
678,678,3, 40,DSX
679,679,936340, 1231,DTE
680,680,1326160, 1231,DUK
681,681,927066, 1231,DVA
682,682,1029142, 1231,DVAX
683,683,1017673, 1231,DVD
684,684,1090012, 1231,DVN
685,685,799165, 1231,DWSN
